TF-IDF_br,TF-IDF_coffee,TF-IDF_flavor,TF-IDF_good,TF-IDF_great,TF-IDF_like,TF-IDF_love,TF-IDF_one,TF-IDF_product,TF-IDF_taste,SentimentScore,HelpfulnessNumerator,HelpfulnessDenominator,Score,Topic_0,Topic_1,Topic_2
0,0,0,0.282511609,0,0.262431956,0,0,0.922668228,0,0.425,1,1,5,0.659816585,0.058913403,0.281270012
0,0,0,0,0,0,0,0,1,0,0.216666667,0,0,1,0.777736848,0.111113299,0.111149854
0,0,0,0,0,0,0,0,0,0,0.187,1,1,4,0.333333333,0.333333333,0.333333333
0,0,0.735332891,0.677706086,0,0,0,0,0,0,0.15,3,3,2,0.11208767,0.576337157,0.311575173
0,0,0,0,1,0,0,0,0,0,0.458333333,0,0,5,0.777616426,0.111214951,0.111168623
0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,4,0.166669266,0.666648725,0.166682009
0,0,0.717052055,0,0.69701962,0,0,0,0,0,0.21,0,0,5,0.442201057,0.446616795,0.111182148
0,0,0.735332891,0.677706086,0,0,0,0,0,0,0.38,0,0,5,0.11208767,0.576337157,0.311575173
0,0,0,0,0,0,1,0,0,0,0.428571429,1,1,5,0.662090791,0.168819321,0.169089887
0,0,0,1,0,0,0,0,0,0,0.4125,0,0,5,0.111988287,0.11586215,0.772149563
0.801321872,0,0,0,0,0,0.493313399,0.244774878,0,0.233688694,0.214166667,1,1,5,0.347874716,0.042494584,0.609630699
0,0,0,0,0,0,0,1,0,0,0.05,4,4,5,0.656545319,0.172018752,0.171435929
0,0,0,0,0,0,0,0,0,0,0.096280992,1,1,1,0.333333333,0.333333333,0.333333333
0,0,0.598552628,0.551645063,0,0,0.580880776,0,0,0,0.58,2,2,4,0.300238146,0.463964067,0.235797787
0,0,0,0,0,0,0,0,0,0,-0.5,4,5,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,1,0,0,0,0.316666667,4,5,5,0.662090791,0.168819321,0.169089887
0,0,0,0.580092456,0,0.538862098,0.610835806,0,0,0,0.4625,0,0,2,0.334503724,0.089365931,0.576130345
0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,5,0.333333333,0.333333333,0.333333333
0.541145535,0,0,0,0,0.440833312,0,0.495901224,0.516632827,0,0.069047619,0,0,5,0.499319688,0.069514196,0.431166115
0,0,0,0,0,0,0,0,0,0,0.225,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,0.4,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0.661545241,0.749905257,0,0,0,0.2125,0,0,5,0.630362243,0.123868834,0.245768923
0,0,0,0,0,0,0,0,1,0,0.125,0,0,5,0.666601677,0.16667014,0.166728183
0,0,0,0,0,0,1,0,0,0,0.25,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,0,0,0,0,0,0,0.261904762,0,0,5,0.333333333,0.333333333,0.333333333
0.72329892,0,0,0,0,0,0,0,0.690535062,0,0,0,0,5,0.444019164,0.111147541,0.444833295
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.166669266,0.666648725,0.166682009
0,0,0,0,1,0,0,0,0,0,0.345833333,0,1,4,0.66641047,0.166831542,0.166757988
0,0,0,0,0.710384524,0,0,0.703813774,0,0,0.304166667,0,0,5,0.77468435,0.112753083,0.112562567
0.801321872,0,0,0,0,0,0.493313399,0.244774878,0,0.233688694,0.214166667,1,1,5,0.347874716,0.042494584,0.609630699
0,0.634848429,0,0.478804119,0,0.22238644,0,0.500332913,0.260624894,0,0.20462963,0,0,5,0.351046921,0.406982202,0.241970877
0.439055568,0,0,0,0.812206227,0,0,0,0,0.384124006,0.6,0,1,5,0.465416899,0.067097653,0.467485448
0.242621344,0,0,0.63830782,0.224411875,0.197646592,0,0.222336162,0.463262257,0.424532517,0.251944444,19,19,4,0.361364268,0.028727762,0.60990797
0,0,0.432640013,0.797469483,0.420553258,0,0,0,0,0,0.396666667,13,13,4,0.274666186,0.338680533,0.386653281
0.611478567,0,0.581840235,0.536242392,0,0,0,0,0,0,0.308333333,9,9,5,0.083644601,0.366581556,0.549773843
0.85132218,0,0,0,0.393713932,0.346756234,0,0,0,0,0.226190476,3,3,4,0.28678919,0.068204903,0.645005907
0.601472692,0,0,0,0,0,0.555422013,0,0.574227296,0,0.208333333,2,2,5,0.57195775,0.083843337,0.344198913
0,0,0,0,0,0,0,0,0,0,-0.059027778,1,1,5,0.333333333,0.333333333,0.333333333
0,0.935681239,0,0.352846452,0,0,0,0,0,0,0.12,0,0,4,0.08405459,0.790999214,0.124946196
0,0,0.759638056,0,0,0.650346081,0,0,0,0,0.2,0,0,5,0.117582526,0.735512346,0.146905128
0.874935115,0,0,0.153456662,0,0,0,0,0,0.459281611,0.243939394,0,0,5,0.033363553,0.033586062,0.933050385
0,0,0.279217729,0.514671809,0,0.478091256,0.27097402,0.537813347,0,0.256727528,0.056046136,0,0,5,0.279539038,0.192375225,0.528085737
0,0,0,0,0.819227837,0,0,0,0.422791058,0.387444799,0.65,0,0,5,0.666157487,0.067483278,0.266359236
0,0,0,1,0,0,0,0,0,0,0.63,0,0,5,0.111988287,0.11586215,0.772149563
0,0,0,0.591500831,0,0.549459617,0,0,0,0.590102445,0.466666667,0,0,5,0.084985482,0.086945493,0.828069025
0,0,1,0,0,0,0,0,0,0,0.00625,0,0,3,0.166669266,0.666648725,0.166682009
0,0,0,0.42847559,0,0.796042951,0,0,0,0.427462617,0.475,0,0,5,0.068547342,0.070159084,0.861293573
0,0,0.735332891,0.677706086,0,0,0,0,0,0,0.7,1,2,3,0.11208767,0.576337157,0.311575173
0,0,0.919314136,0,0,0.393524483,0,0,0,0,0.153703704,1,2,4,0.086363981,0.818582732,0.095053287
0,0,0,0,0,0,0,0,0,1,0.066666667,0,1,3,0.166671847,0.168602997,0.664725156
0,0,0,0.732664489,0,0.680589998,0,0,0,0,0.4,0,7,1,0.114627869,0.118291333,0.767080798
0,0,0,0,0,0,0,0,0,0,0.342857143,4,4,5,0.333333333,0.333333333,0.333333333
0.97988541,0,0,0,0,0.199560979,0,0,0,0,-0.125320513,1,1,4,0.056107221,0.05632671,0.887566069
0,0,0,0,0,0,0,0,0,0,0.2,0,0,3,0.333333333,0.333333333,0.333333333
0,0.674366946,0,0,0.536439846,0,0,0,0,0.507406655,0.172474747,2,2,4,0.330734907,0.355732093,0.313533
0,0.697245849,0,0,0,0.488488323,0,0,0,0.524621182,0.389285714,0,0,5,0.085294736,0.415044744,0.49966052
0,0,0,0,0,0,0.695239241,0,0.718778406,0,0.2,2,2,5,0.776358087,0.111771253,0.11187066
0,0,0,0,0.707684267,0,0.706528824,0,0,0,0.625,1,1,5,0.776295096,0.11182432,0.111880584
0,0,0,0,0.695825957,0,0,0,0.718210441,0,0.75,0,0,5,0.777676743,0.111164024,0.111159234
0,0,0,0,0,0,0,0,0,0,0.433333333,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,1,0,0,0,0,0,0,0.7,2,4,3,0.168065212,0.174366659,0.657568128
0,0,0,1,0,0,0,0,0,0,0.2375,0,2,5,0.168065212,0.174366659,0.657568128
0,0,0,0,0,0,0,0,0,0,-0.5,2,2,1,0.333333333,0.333333333,0.333333333
0,0,0,0,0.420363486,0,0,0,0.867772871,0.265075052,0.317647059,3,3,5,0.777482699,0.028090738,0.194426563
0,0,0.451102207,0,0,0.579300662,0,0,0.678909082,0,0.063888889,1,1,5,0.525984548,0.428010769,0.046004683
0,0,1,0,0,0,0,0,0,0,0.21,1,1,5,0.166669266,0.666648725,0.166682009
0.956376073,0,0,0,0,0,0,0.292138334,0,0,0.152309524,0,0,5,0.11091334,0.068986389,0.820100271
0,0,0.45965032,0,0,0.590278058,0,0.221338091,0.461182664,0.422626783,-0.258333333,0,1,2,0.326252188,0.290560315,0.383187497
0,0,0,0.732664489,0,0.680589998,0,0,0,0,-0.020138889,0,0,3,0.114627869,0.118291333,0.767080798
0,0,0,0,0,0,0,0,0,0,-0.25,0,2,5,0.333333333,0.333333333,0.333333333
0,0,0,1,0,0,0,0,0,0,0.12875,2,2,5,0.168065212,0.174366659,0.657568128
0,0,0,0.580092456,0,0.538862098,0.610835806,0,0,0,0.307291667,1,1,5,0.334503724,0.089365931,0.576130345
0,0,0,0.809265044,0.426773761,0,0,0,0,0.403675917,0.453333333,0,0,5,0.271143097,0.06878443,0.660072473
0,0,0,0.224030869,0,0.624323294,0.235903907,0.234104121,0,0.670503692,0.026397597,0,1,1,0.152238389,0.035279796,0.812481815
0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0.333333333,0.333333333,0.333333333
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.11111275,0.777766416,0.111120834
0,0,0,0.591500831,0,0.549459617,0,0,0,0.590102445,0.24,0,0,5,0.084985482,0.086945493,0.828069025
0,0,0,0.413660949,0,0.384259792,0,0,0,0.825365999,0.1,0,0,5,0.067629491,0.068929741,0.863440768
0,0,0.598652203,0,0.581927531,0,0,0,0,0.550432456,0.2,0,0,3,0.330759274,0.355551951,0.313688775
0,0,0,0.707943122,0,0,0,0,0,0.70626945,0.28,0,0,5,0.111544122,0.113997756,0.774458122
0,0,0,0,0,0,0.449957783,0.893049827,0,0,0.3225,1,1,5,0.829581172,0.085272302,0.085146526
0,0,0,0,1,0,0,0,0,0,0.425,1,1,4,0.66641047,0.166831542,0.166757988
0.672221093,0.521090257,0.106606429,0.294755587,0.207256286,0.273805687,0,0.102669627,0.106961825,0.196039164,0.101754386,15,15,5,0.168677256,0.266637365,0.564685379
0,0,0.504317239,0,0,0.863518455,0,0,0,0,0.188392857,5,5,3,0.088737228,0.595385084,0.315877688
0,0,0,0,0,0,0,0,0,0,0.3,4,4,3,0.333333333,0.333333333,0.333333333
0,0,0,0,0.409322966,0,0.817309322,0.405536906,0,0,0.455952381,4,4,5,0.864947425,0.067528947,0.067523629
0,0,0,0,0,0,0,0,0,0,0.2,1,1,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,1,0,0,0,0,0.176190476,1,1,5,0.177501522,0.183052925,0.639445553
0,0,0,0,0,0.661545241,0.749905257,0,0,0,0.046428571,1,1,5,0.630362243,0.123868834,0.245768923
0,0,0,0.426465686,0.449801623,0,0.449067228,0.445641152,0.464271587,0,0.533333333,0,0,5,0.754628713,0.058680618,0.186690669
0,0,0,0,0,0,0,0,0,0,0.180102041,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0.710384524,0,0,0.703813774,0,0,0.8,0,0,5,0.77468435,0.112753083,0.112562567
0,0,0,0.688031833,0.725680506,0,0,0,0,0,0.09914966,0,0,5,0.462579663,0.116339308,0.42108103
0.461381968,0,0.43901881,0,0,0.375855528,0.639085627,0.21140328,0,0,0.039583333,0,0,5,0.38138401,0.272582649,0.346033341
0,0,0,0,0,0,0,0,0,0,-0.166666667,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,0.121428571,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,1,0,0,0,0.197222222,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,0,0,1,0,0,0,0.275,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,0,0.664390968,0,0.747385203,0,0,-0.03017316,0,0,5,0.586735808,0.125190399,0.288073793
0,0,0,0,0,0,0,0,0,0,-0.353333333,0,1,1,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0.522820558,0.59265166,0,0.612717451,0,0.1,4,5,5,0.805305885,0.090015945,0.10467817
0,0,0,0,0,0,0,0,0,0,0.091666667,2,3,4,0.333333333,0.333333333,0.333333333
0,0,0,0,0.588090583,0,0.587130401,0,0,0.556261951,0.24,0,0,4,0.571262085,0.084828025,0.343909889
0,0,0,0,0,0,1,0,0,0,0.066666667,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,0,0,1,0,0,0,0.506666667,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,0.611947311,0.53896123,0,0,0,0.578827506,0.488888889,0,0,5,0.376288695,0.086901121,0.536810184
0,0,0,0,0,0,0,0,1,0,1,2,8,3,0.666601677,0.16667014,0.166728183
0,0,0,0,0,0,0.449957783,0.893049827,0,0,0.242857143,2,2,5,0.829581172,0.085272302,0.085146526
0,0,0,0,0.707684267,0,0.706528824,0,0,0,0.35,1,1,5,0.776295096,0.11182432,0.111880584
0.322876946,0,0.307227118,0.849450735,0,0,0,0,0,0.28248084,0.414603175,0,0,5,0.04783092,0.216571449,0.735597632
0,0,0.613086432,0,0,0.524879389,0,0.590446149,0,0,-0.083333333,2,2,2,0.303210338,0.59315664,0.103633022
0,0.697245849,0,0,0,0.488488323,0,0,0,0.524621182,0.4625,3,3,5,0.085294736,0.415044744,0.49966052
0.163075003,0.758471841,0,0.143010294,0,0,0,0.597762251,0,0.142672199,0.170506073,2,2,5,0.228629955,0.488668801,0.282701244
0.609110952,0,0,0,0.563395324,0,0,0.558184161,0,0,0.716666667,1,1,5,0.560780692,0.084535214,0.354684094
0,0,0,0,0,0,1,0,0,0,0.050757576,0,0,5,0.774899564,0.112464818,0.112635618
0,0,0,0,0,0,1,0,0,0,0.5,0,0,5,0.662090791,0.168819321,0.169089887
0,0,0,0,1,0,0,0,0,0,0.15,2,2,5,0.66641047,0.166831542,0.166757988
0.324976907,0,0,0.284991827,0.901759208,0,0,0,0,0,0.333333333,0,0,5,0.568380353,0.056668834,0.374950813
0.300405208,0,0,0.526886848,0,0,0,0.550577619,0.573595019,0,0.08458816,5,5,5,0.526616327,0.043260145,0.430123528
0,0,0,0.487969824,0.514671229,0,0,0.509910742,0,0.486816199,0.266153846,4,4,5,0.441155345,0.069252774,0.489591881
0,0,0,0,0,0,0,0,0,0,0.6,4,4,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,0.0575,2,2,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,0.040740741,1,1,5,0.333333333,0.333333333,0.333333333
0,0,0,0.886314735,0,0,0,0.463083353,0,0,0.043707483,1,1,5,0.221355357,0.089545135,0.689099508
0,0,0,0,0,0,0,0,0,0,0.068888889,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,1,0,0,0.16,0,0,5,0.771437929,0.114463974,0.114098096
0,0,0,0,0.710384524,0,0,0.703813774,0,0,0.272619048,0,0,5,0.77468435,0.112753083,0.112562567
0,0,0,0,0,0,0.888330917,0,0.459203856,0,0.057142857,4,4,4,0.831943925,0.083983292,0.084072783
0,0,0.622288607,0.573520894,0,0.532757612,0,0,0,0,0.201785714,4,4,5,0.085863168,0.477133377,0.437003456
0,0,0,0,0,0.661545241,0.749905257,0,0,0,0.2,3,3,3,0.630362243,0.123868834,0.245768923
0,0,0,0,0,0,0,0,0,0,0.383333333,1,1,5,0.333333333,0.333333333,0.333333333
0,0,0.668006582,0.307828014,0,0.285948986,0,0,0,0.614200535,0.111111111,2,3,2,0.048219639,0.406045972,0.54573439
0,0,0.759638056,0,0,0.650346081,0,0,0,0,0.24,0,0,5,0.117582526,0.735512346,0.146905128
0,0,0.825318726,0,0.401130811,0,0,0.397420525,0,0,0.153333333,0,0,5,0.425831055,0.506708368,0.067460577
0,0,0.720281105,0,0,0,0,0.693682297,0,0,0.25,0,0,5,0.356932179,0.528682627,0.114385195
0,0,0.831371493,0,0,0,0.403412913,0,0,0.382203431,-0.122222222,0,0,4,0.205697937,0.545198727,0.249103336
0,0,0,0,0,1,0,0,0,0,0.292857143,0,0,5,0.177501522,0.183052925,0.639445553
0,0,0,0,0,0,0,0,0,0,0.307272727,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,-0.25,0,0,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0.432684058,0.90154562,0,0.277777778,0,0,5,0.831872069,0.08409285,0.084035081
0,0,0,0,0,0,0,1,0,0,0.0125,0,0,4,0.656545319,0.172018752,0.171435929
0,0,0,0.707943122,0,0,0,0,0,0.70626945,0.269047619,0,0,4,0.066917657,0.068339984,0.864742359
0,0,0,0,0,0,0.888330917,0,0.459203856,0,0.16,0,0,5,0.831943925,0.083983292,0.084072783
0,0,0,0,0.894719163,0,0.446629174,0,0,0,0.369333333,0,0,5,0.832574262,0.083705135,0.083720603
0,0,1,0,0,0,0,0,0,0,0.262857143,0,1,3,0.166669266,0.666648725,0.166682009
0,0,0,0,0,0.530714091,0.601599501,0.597009709,0,0,0.335763889,2,2,5,0.800427661,0.091344549,0.108227791
0,0,0,0,0,1,0,0,0,0,0.066634199,2,2,2,0.177501522,0.183052925,0.639445553
0,0,0,0,0,0,0,1,0,0,0.416666667,0,0,5,0.656545319,0.172018752,0.171435929
0,0,0,0,0,0,0.695239241,0,0.718778406,0,0.286666667,0,0,3,0.776358087,0.111771253,0.11187066
0,0,0,0,1,0,0,0,0,0,0.51,3,3,5,0.66641047,0.166831542,0.166757988
0,0,0.457998558,0,0,0,0.888952935,0,0,0,0.26,0,0,5,0.560845156,0.354673539,0.084481305
0,0,0,0,0,0,0,0,0,1,0.258333333,0,0,5,0.166671847,0.168602997,0.664725156
0,0,0,0.56913561,0,0,0,0.59472604,0,0.567790098,0.316666667,0,0,4,0.213986603,0.088241253,0.697772144
0,0.798386705,0,0.602145057,0,0,0,0,0,0,0.247619048,1,1,1,0.112086905,0.576553284,0.311359811
0,0,0.657606903,0.606071354,0,0,0,0,0.329899589,0.302319261,0.63125,1,1,5,0.194191836,0.401044807,0.404763356
0,0,0.418043974,0,0.406364992,0.715796841,0,0,0,0.384371711,0.308333333,0,0,5,0.259924432,0.296043459,0.444032109
0,0,0,0,0,0,0,0,0,0,0,1,1,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,1,0,0,0,0.633333333,0,0,5,0.662090791,0.168819321,0.169089887
0.567102675,0,0,0.24866325,0,0.230989386,0,0.519688128,0.541414165,0,0.54,17,19,5,0.483014678,0.038368465,0.478616857
0,0,0,0,0,0,0,0,0,0,-0.113333333,3,3,5,0.333333333,0.333333333,0.333333333
0,0,0,0,1,0,0,0,0,0,0.766666667,2,2,5,0.66641047,0.166831542,0.166757988
0,0,0,0,0,0,0,0,0,1,0.466666667,1,1,3,0.166671847,0.168602997,0.664725156
0,0,0.478219533,0.440742271,0.464859413,0.409416296,0,0,0,0.439700298,0.249255952,0,0,4,0.239822389,0.27674942,0.483428191
0.903009593,0,0.429620385,0,0,0,0,0,0,0,0.199553571,0,0,5,0.083348791,0.333495137,0.583156072
0,0,0.446023667,0,0,0,0,0,0.895021167,0,0.084761905,0,4,1,0.583326487,0.333303487,0.083370026
0,0,1,0,0,0,0,0,0,0,0.01875,1,1,5,0.166669266,0.666648725,0.166682009
0,0,0,0,0,0,0,0,0,0,0.725,2,3,5,0.333333333,0.333333333,0.333333333
0,0,0,0,0,0,0,0,0,0,-0.058333333,1,1,1,0.333333333,0.333333333,0.333333333
0,0,0,0.413660949,0,0.384259792,0,0,0,0.825365999,0.066666667,1,1,1,0.067629491,0.068929741,0.863440768
0,0,0,0,0.750441233,0.66093718,0,0,0,0,0.304166667,0,0,3,0.664797582,0.123326027,0.211876392
0,0,0,0,0,0,0,0,0,0,0.125,0,0,5,0.333333333,0.333333333,0.333333333
0,0.783089752,0,0,0,0,0.621908708,0,0,0,0.018855219,3,3,5,0.41215571,0.47510211,0.11274218
0,0,0,0,0,0,0.695239241,0,0.718778406,0,0.4375,3,3,5,0.776358087,0.111771253,0.11187066
0,0.95038006,0.311091211,0,0,0,0,0,0,0,0.301190476,0,0,5,0.041666834,0.91666551,0.041667656
0,0,0,0.412143332,0,0.38285004,0.433985826,0,0.673019348,0.205584485,0.318518519,5,6,4,0.540744191,0.031782257,0.427473552
0.43558409,0,0,0,0,0,0,0.798331205,0.415853085,0,0.33375,1,1,5,0.642302585,0.067917472,0.289779943
0.595822539,0,0.566943054,0,0,0,0,0,0.568833082,0,0.2,0,0,5,0.333007982,0.333703531,0.333288487
0,0,0,0.676485729,0,0,0,0,0.736455741,0,0.45,0,0,5,0.463097941,0.116208445,0.420693613
0,0,0.476860292,0.878979102,0,0,0,0,0,0,0.433333333,0,2,4,0.084000998,0.420380965,0.495618037
0.907897217,0,0,0,0,0,0.419192847,0,0,0,0.091666667,8,8,4,0.276465813,0.084455469,0.639078718
0,0,0,0,0.611947311,0.53896123,0,0,0,0.578827506,0.033333333,6,6,4,0.376288695,0.086901121,0.536810184
0,0,0,0,0.819227837,0,0,0,0.422791058,0.387444799,0.591666667,1,1,5,0.666157487,0.067483278,0.266359236
0.304122255,0,0,0.266703126,0,0,0,0.27869508,0.871038546,0,0.198958333,0,0,3,0.622543248,0.048810988,0.328645765
0.752618842,0,0,0,0,0,0,0,0,0.658456436,0.262407407,3,3,5,0.111122194,0.111723725,0.777154081
0,0,0,0.688031833,0.725680506,0,0,0,0,0,0.566666667,3,3,5,0.462579663,0.116339308,0.42108103
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.333333333,0.333333333,0.333333333
0.457012897,0,0,0,0.211356345,0.558444529,0,0.628204171,0,0.19991732,0.13591954,2,2,5,0.383103665,0.031869844,0.585026491
0,0,0,0,0,0,0,0,0,0,0.116666667,0,0,5,0.333333333,0.333333333,0.333333333
0,0.829804215,0,0.312920107,0,0,0,0,0.340660267,0.312180322,0.171428571,1,1,4,0.225390058,0.452768191,0.321841751
0,0.668779673,0.547284943,0,0,0,0,0,0,0.503202683,0.3125,0,0,3,0.083336528,0.627220359,0.289443113
0,0.601088002,0,0.453341929,0.478148517,0,0,0,0,0.452270169,0.75,0,0,5,0.268650918,0.305749994,0.425599088
0,0.66053464,0,0,0.175145546,0.154256187,0,0.694102101,0,0.165666321,0.287755102,0,0,5,0.451822471,0.417822219,0.13035531
0,0,0,0,0.502722281,0,0.501901481,0,0.518894685,0.475513952,0.161666667,0,0,5,0.660388915,0.067713574,0.271897511
